payment_id,amount,failure_reason,action_taken,execution_status,recovered,recovered_amount
E00000,141.0,INSUFFICIENT_FUNDS,RETRY_LATER,SUCCESS,True,141.0
E00001,490.47,UNKNOWN,REMINDER,SUCCESS,True,490.47
E00002,1193.16,INSUFFICIENT_FUNDS,RETRY_LATER,SUCCESS,True,1193.16
E00003,1089.74,BANK_TIMEOUT,RETRY_LATER,SUCCESS,True,1089.74
E00004,620.05,INSUFFICIENT_FUNDS,RETRY_LATER,TIMEOUT,False,0.0
E00005,2222.46,EXPIRED_CARD,PAYMENT_LINK,SUCCESS,True,2222.46
E00006,266.42,CHECKOUT_ABANDONED,REMINDER,SUCCESS,True,266.42
E00007,635.89,INSUFFICIENT_FUNDS,RETRY_LATER,SUCCESS,True,635.89
E00008,531.09,NETWORK_ERROR,RETRY_NOW,FAILED,False,0.0
E00009,2588.06,NETWORK_ERROR,RETRY_NOW,SUCCESS,True,2588.06
E00010,2193.96,CHECKOUT_ABANDONED,REMINDER,FAILED,False,0.0
E00011,1849.36,MANDATE_AUTH_FAILED,PAYMENT_LINK,FAILED,False,0.0
E00012,886.76,INSUFFICIENT_FUNDS,RETRY_LATER,SUCCESS,True,886.76
E00013,704.82,INSUFFICIENT_FUNDS,RETRY_LATER,SUCCESS,True,704.82
E00014,1993.91,CHECKOUT_ABANDONED,REMINDER,SUCCESS,True,1993.91
E00015,301.38,NETWORK_ERROR,RETRY_NOW,FAILED,False,0.0
E00016,339.44,BANK_TIMEOUT,RETRY_LATER,SUCCESS,True,339.44
E00017,1079.12,NETWORK_ERROR,RETRY_NOW,SUCCESS,True,1079.12
E00018,3934.78,MANDATE_AUTH_FAILED,PAYMENT_LINK,FAILED,False,0.0
E00019,1663.43,EXPIRED_CARD,PAYMENT_LINK,SUCCESS,True,1663.43
E00020,3663.31,CHECKOUT_ABANDONED,REMINDER,SUCCESS,True,3663.31
E00021,1788.96,BANK_TIMEOUT,RETRY_LATER,FAILED,False,0.0
E00022,1010.6,CHECKOUT_ABANDONED,REMINDER,SUCCESS,True,1010.6
E00023,1817.85,EXPIRED_CARD,PAYMENT_LINK,SUCCESS,True,1817.85
E00024,1408.85,BANK_TIMEOUT,ESCALATE,FAILED,False,0.0
E00025,440.36,MANDATE_AUTH_FAILED,PAYMENT_LINK,FAILED,False,0.0
E00026,462.16,NETWORK_ERROR,RETRY_NOW,SUCCESS,True,462.16
E00027,1743.81,NETWORK_ERROR,RETRY_NOW,SUCCESS,True,1743.81
E00028,497.23,NETWORK_ERROR,RETRY_NOW,SUCCESS,True,497.23
E00029,3813.24,EXPIRED_CARD,PAYMENT_LINK,FAILED,False,0.0
E00030,754.52,MANDATE_AUTH_FAILED,PAYMENT_LINK,FAILED,False,0.0
E00031,2083.3,BANK_TIMEOUT,RETRY_LATER,SUCCESS,True,2083.3
E00032,823.87,EXPIRED_CARD,PAYMENT_LINK,FAILED,False,0.0
E00033,3938.34,BANK_TIMEOUT,RETRY_LATER,FAILED,False,0.0
E00034,1505.09,BANK_TIMEOUT,RETRY_LATER,SUCCESS,True,1505.09
E00035,6922.65,UNKNOWN,REMINDER,SUCCESS,True,6922.65
E00036,1212.77,MANDATE_AUTH_FAILED,PAYMENT_LINK,FAILED,False,0.0
E00037,3058.03,EXPIRED_CARD,PAYMENT_LINK,FAILED,False,0.0
E00038,1866.79,BANK_TIMEOUT,RETRY_LATER,SUCCESS,True,1866.79
E00039,1777.7,EXPIRED_CARD,PAYMENT_LINK,SUCCESS,True,1777.7
E00040,1916.79,NETWORK_ERROR,RETRY_NOW,SUCCESS,True,1916.79
E00041,228.09,BANK_TIMEOUT,RETRY_LATER,SUCCESS,True,228.09
E00042,1523.52,UNKNOWN,REMINDER,SUCCESS,True,1523.52
E00043,4179.67,BANK_TIMEOUT,RETRY_LATER,SUCCESS,True,4179.67
E00044,1163.41,NETWORK_ERROR,RETRY_NOW,SUCCESS,True,1163.41
E00045,903.35,BANK_TIMEOUT,RETRY_LATER,SUCCESS,True,903.35
E00046,2440.45,EXPIRED_CARD,PAYMENT_LINK,FAILED,False,0.0
E00047,910.3,NETWORK_ERROR,RETRY_NOW,SUCCESS,True,910.3
E00048,1778.92,NETWORK_ERROR,RETRY_NOW,SUCCESS,True,1778.92
E00049,2124.18,MANDATE_AUTH_FAILED,PAYMENT_LINK,FAILED,False,0.0
E00050,897.5,INSUFFICIENT_FUNDS,RETRY_LATER,SUCCESS,True,897.5
E00051,1917.77,INSUFFICIENT_FUNDS,RETRY_LATER,SUCCESS,True,1917.77
E00052,1350.75,EXPIRED_CARD,PAYMENT_LINK,SUCCESS,True,1350.75
E00053,3404.08,CHECKOUT_ABANDONED,REMINDER,SUCCESS,True,3404.08
E00054,302.69,INSUFFICIENT_FUNDS,RETRY_LATER,SUCCESS,True,302.69
E00055,1041.62,MANDATE_AUTH_FAILED,PAYMENT_LINK,FAILED,False,0.0
E00056,868.98,EXPIRED_CARD,PAYMENT_LINK,SUCCESS,True,868.98
E00057,1659.36,INSUFFICIENT_FUNDS,RETRY_LATER,FAILED,False,0.0
E00058,2332.0,NETWORK_ERROR,RETRY_NOW,FAILED,False,0.0
E00059,329.88,NETWORK_ERROR,RETRY_NOW,FAILED,False,0.0
E00060,1943.24,EXPIRED_CARD,PAYMENT_LINK,SUCCESS,True,1943.24
E00061,2109.15,INSUFFICIENT_FUNDS,RETRY_LATER,SUCCESS,True,2109.15
E00062,141.93,MANDATE_AUTH_FAILED,PAYMENT_LINK,SUCCESS,True,141.93
E00063,651.57,BANK_TIMEOUT,RETRY_LATER,SUCCESS,True,651.57
E00064,1374.88,NETWORK_ERROR,RETRY_NOW,SUCCESS,True,1374.88
E00065,2508.92,INSUFFICIENT_FUNDS,RETRY_LATER,SUCCESS,True,2508.92
E00066,1421.36,BANK_TIMEOUT,RETRY_LATER,SUCCESS,True,1421.36
E00067,1602.22,BANK_TIMEOUT,RETRY_LATER,SUCCESS,True,1602.22
E00068,1218.02,CHECKOUT_ABANDONED,REMINDER,FAILED,False,0.0
E00069,3281.4,EXPIRED_CARD,PAYMENT_LINK,SUCCESS,True,3281.4
E00070,3631.52,INSUFFICIENT_FUNDS,RETRY_LATER,SUCCESS,True,3631.52
E00071,850.13,CHECKOUT_ABANDONED,REMINDER,FAILED,False,0.0
E00072,2092.96,CHECKOUT_ABANDONED,REMINDER,SUCCESS,True,2092.96
E00073,2423.26,CHECKOUT_ABANDONED,REMINDER,SUCCESS,True,2423.26
E00074,904.63,NETWORK_ERROR,RETRY_NOW,SUCCESS,True,904.63
E00075,3133.27,MANDATE_AUTH_FAILED,PAYMENT_LINK,FAILED,False,0.0
E00076,441.09,UNKNOWN,REMINDER,SUCCESS,True,441.09
